"","week","group","mouse","weight","sex","series"
"6535",1,"group 2","65",12.6,"female","group 2 female"
"6536",2,"group 2","65",17.6,"female","group 2 female"
"6537",3,"group 2","65",17.6,"female","group 2 female"
"6538",4,"group 2","65",18.3,"female","group 2 female"
"6539",5,"group 2","65",19,"female","group 2 female"
"6540",6,"group 2","65",18.5,"female","group 2 female"
"6541",7,"group 2","65",19.5,"female","group 2 female"
"6542",8,"group 2","65",20.6,"female","group 2 female"
"6543",9,"group 2","65",21,"female","group 2 female"
"6544",10,"group 2","65",20.3,"female","group 2 female"
"6545",11,"group 2","65",21.1,"female","group 2 female"
"6546",12,"group 2","65",22,"female","group 2 female"
"6547",13,"group 2","65",21.2,"female","group 2 female"
"6548",14,"group 2","65",22.2,"female","group 2 female"
"6549",15,"group 2","65",22.5,"female","group 2 female"
"6550",16,"group 2","65",21.2,"female","group 2 female"
"6551",17,"group 2","65",21.6,"female","group 2 female"
"6552",18,"group 2","65",21.6,"female","group 2 female"
"6553",19,"group 2","65",21,"female","group 2 female"
"6554",20,"group 2","65",21.2,"female","group 2 female"
"6555",21,"group 2","65",21.1,"female","group 2 female"
"6556",22,"group 2","65",22.9,"female","group 2 female"
"6557",23,"group 2","65",21.5,"female","group 2 female"
"6558",24,"group 2","65",21.6,"female","group 2 female"
"6559",25,"group 2","65",22,"female","group 2 female"
"6560",26,"group 2","65",23,"female","group 2 female"
"6561",27,"group 2","65",22.4,"female","group 2 female"
"6562",28,"group 2","65",22.6,"female","group 2 female"
"6563",29,"group 2","65",21.2,"female","group 2 female"
"6564",30,"group 2","65",22.4,"female","group 2 female"
"6565",31,"group 2","65",23.5,"female","group 2 female"
"6566",32,"group 2","65",23.2,"female","group 2 female"
"6567",33,"group 2","65",22.3,"female","group 2 female"
"6568",34,"group 2","65",22.9,"female","group 2 female"
"6569",35,"group 2","65",23,"female","group 2 female"
"6570",36,"group 2","65",22,"female","group 2 female"
"6571",37,"group 2","65",21.9,"female","group 2 female"
"6572",38,"group 2","65",22,"female","group 2 female"
"6573",39,"group 2","65",23.2,"female","group 2 female"
"6574",40,"group 2","65",23.1,"female","group 2 female"
"6575",41,"group 2","65",21.4,"female","group 2 female"
"6576",42,"group 2","65",23,"female","group 2 female"
"6577",43,"group 2","65",21.1,"female","group 2 female"
"6578",44,"group 2","65",25.2,"female","group 2 female"
"6579",45,"group 2","65",25.6,"female","group 2 female"
"6580",46,"group 2","65",24.8,"female","group 2 female"
"6581",47,"group 2","65",25,"female","group 2 female"
"6582",48,"group 2","65",26.2,"female","group 2 female"
"6583",49,"group 2","65",26.3,"female","group 2 female"
"6584",50,"group 2","65",25.8,"female","group 2 female"
"6585",51,"group 2","65",25,"female","group 2 female"
"6586",52,"group 2","65",26.7,"female","group 2 female"
"6587",53,"group 2","65",27,"female","group 2 female"
"6588",54,"group 2","65",24.5,"female","group 2 female"
"6589",55,"group 2","65",26.4,"female","group 2 female"
"6590",56,"group 2","65",28.1,"female","group 2 female"
"6591",57,"group 2","65",25.9,"female","group 2 female"
"6592",58,"group 2","65",26.1,"female","group 2 female"
"6593",59,"group 2","65",25.6,"female","group 2 female"
"6594",60,"group 2","65",25.4,"female","group 2 female"
"6595",61,"group 2","65",24.1,"female","group 2 female"
"6596",62,"group 2","65",24.3,"female","group 2 female"
"6597",63,"group 2","65",22.5,"female","group 2 female"
"6599",65,"group 2","65",23.9,"female","group 2 female"
"6600",66,"group 2","65",24.3,"female","group 2 female"
"6601",67,"group 2","65",24.3,"female","group 2 female"
"6602",68,"group 2","65",23.5,"female","group 2 female"
"6603",69,"group 2","65",23.1,"female","group 2 female"
"6604",70,"group 2","65",25.6,"female","group 2 female"
"6605",71,"group 2","65",23.4,"female","group 2 female"
"6606",72,"group 2","65",22.8,"female","group 2 female"
"6607",73,"group 2","65",23.7,"female","group 2 female"
"6611",1,"group 2","66",11.2,"female","group 2 female"
"6612",2,"group 2","66",15.8,"female","group 2 female"
"6613",3,"group 2","66",15.6,"female","group 2 female"
"6614",4,"group 2","66",17.3,"female","group 2 female"
"6615",5,"group 2","66",17,"female","group 2 female"
"6616",6,"group 2","66",18.3,"female","group 2 female"
"6617",7,"group 2","66",17.3,"female","group 2 female"
"6618",8,"group 2","66",19.3,"female","group 2 female"
"6619",9,"group 2","66",19.5,"female","group 2 female"
"6620",10,"group 2","66",20,"female","group 2 female"
"6621",11,"group 2","66",20.5,"female","group 2 female"
"6622",12,"group 2","66",19.5,"female","group 2 female"
"6623",13,"group 2","66",20.3,"female","group 2 female"
"6624",14,"group 2","66",19.7,"female","group 2 female"
"6625",15,"group 2","66",21.3,"female","group 2 female"
"6626",16,"group 2","66",20.2,"female","group 2 female"
"6627",17,"group 2","66",19.8,"female","group 2 female"
"6628",18,"group 2","66",20.8,"female","group 2 female"
"6629",19,"group 2","66",20.4,"female","group 2 female"
"6630",20,"group 2","66",21.5,"female","group 2 female"
"6631",21,"group 2","66",20.7,"female","group 2 female"
"6632",22,"group 2","66",21.1,"female","group 2 female"
"6633",23,"group 2","66",21.2,"female","group 2 female"
"6634",24,"group 2","66",20.4,"female","group 2 female"
"6635",25,"group 2","66",21.3,"female","group 2 female"
"6636",26,"group 2","66",22,"female","group 2 female"
"6637",27,"group 2","66",21.1,"female","group 2 female"
"6638",28,"group 2","66",22.3,"female","group 2 female"
"6639",29,"group 2","66",21,"female","group 2 female"
"6640",30,"group 2","66",21,"female","group 2 female"
"6641",31,"group 2","66",21.9,"female","group 2 female"
"6642",32,"group 2","66",21.5,"female","group 2 female"
"6643",33,"group 2","66",22.8,"female","group 2 female"
"6644",34,"group 2","66",21.9,"female","group 2 female"
"6645",35,"group 2","66",21.9,"female","group 2 female"
"6646",36,"group 2","66",22.7,"female","group 2 female"
"6647",37,"group 2","66",22,"female","group 2 female"
"6648",38,"group 2","66",22.4,"female","group 2 female"
"6649",39,"group 2","66",22.4,"female","group 2 female"
"6650",40,"group 2","66",23.5,"female","group 2 female"
"6651",41,"group 2","66",22.2,"female","group 2 female"
"6652",42,"group 2","66",22.6,"female","group 2 female"
"6653",43,"group 2","66",24.1,"female","group 2 female"
"6654",44,"group 2","66",24,"female","group 2 female"
"6655",45,"group 2","66",24.6,"female","group 2 female"
"6656",46,"group 2","66",23.8,"female","group 2 female"
"6657",47,"group 2","66",23.3,"female","group 2 female"
"6658",48,"group 2","66",23.8,"female","group 2 female"
"6659",49,"group 2","66",24.7,"female","group 2 female"
"6660",50,"group 2","66",24.6,"female","group 2 female"
"6661",51,"group 2","66",23,"female","group 2 female"
"6662",52,"group 2","66",23.6,"female","group 2 female"
"6663",53,"group 2","66",24.5,"female","group 2 female"
"6664",54,"group 2","66",23.4,"female","group 2 female"
"6665",55,"group 2","66",24.9,"female","group 2 female"
"6666",56,"group 2","66",27.2,"female","group 2 female"
"6667",57,"group 2","66",24,"female","group 2 female"
"6668",58,"group 2","66",24.5,"female","group 2 female"
"6669",59,"group 2","66",24.5,"female","group 2 female"
"6670",60,"group 2","66",23.8,"female","group 2 female"
"6671",61,"group 2","66",22.4,"female","group 2 female"
"6672",62,"group 2","66",24.3,"female","group 2 female"
"6673",63,"group 2","66",24.5,"female","group 2 female"
"6675",65,"group 2","66",22.1,"female","group 2 female"
"6676",66,"group 2","66",23.4,"female","group 2 female"
"6677",67,"group 2","66",23.4,"female","group 2 female"
"6687",1,"group 2","67",14.2,"female","group 2 female"
"6688",2,"group 2","67",17,"female","group 2 female"
"6689",3,"group 2","67",16.4,"female","group 2 female"
"6690",4,"group 2","67",18.5,"female","group 2 female"
"6691",5,"group 2","67",17,"female","group 2 female"
"6692",6,"group 2","67",19.1,"female","group 2 female"
"6693",7,"group 2","67",18.7,"female","group 2 female"
"6694",8,"group 2","67",19.8,"female","group 2 female"
"6695",9,"group 2","67",20.4,"female","group 2 female"
"6696",10,"group 2","67",20.1,"female","group 2 female"
"6697",11,"group 2","67",20.9,"female","group 2 female"
"6698",12,"group 2","67",20.3,"female","group 2 female"
"6699",13,"group 2","67",20.3,"female","group 2 female"
"6700",14,"group 2","67",21.7,"female","group 2 female"
"6701",15,"group 2","67",20.6,"female","group 2 female"
"6702",16,"group 2","67",21.4,"female","group 2 female"
"6703",17,"group 2","67",20.1,"female","group 2 female"
"6704",18,"group 2","67",20.4,"female","group 2 female"
"6705",19,"group 2","67",19.9,"female","group 2 female"
"6706",20,"group 2","67",21.2,"female","group 2 female"
"6707",21,"group 2","67",20.1,"female","group 2 female"
"6708",22,"group 2","67",20.2,"female","group 2 female"
"6709",23,"group 2","67",20.7,"female","group 2 female"
"6710",24,"group 2","67",22.1,"female","group 2 female"
"6711",25,"group 2","67",21.3,"female","group 2 female"
"6712",26,"group 2","67",21.9,"female","group 2 female"
"6713",27,"group 2","67",21.7,"female","group 2 female"
"6714",28,"group 2","67",22.1,"female","group 2 female"
"6715",29,"group 2","67",21.9,"female","group 2 female"
"6716",30,"group 2","67",22,"female","group 2 female"
"6717",31,"group 2","67",23.2,"female","group 2 female"
"6718",32,"group 2","67",22.4,"female","group 2 female"
"6719",33,"group 2","67",21.8,"female","group 2 female"
"6720",34,"group 2","67",22.9,"female","group 2 female"
"6721",35,"group 2","67",22,"female","group 2 female"
"6722",36,"group 2","67",22.2,"female","group 2 female"
"6723",37,"group 2","67",21.9,"female","group 2 female"
"6724",38,"group 2","67",21.5,"female","group 2 female"
"6725",39,"group 2","67",23.1,"female","group 2 female"
"6726",40,"group 2","67",22.8,"female","group 2 female"
"6727",41,"group 2","67",21,"female","group 2 female"
"6728",42,"group 2","67",23.6,"female","group 2 female"
"6729",43,"group 2","67",23,"female","group 2 female"
"6730",44,"group 2","67",23.4,"female","group 2 female"
"6731",45,"group 2","67",24.8,"female","group 2 female"
"6732",46,"group 2","67",23.4,"female","group 2 female"
"6733",47,"group 2","67",23.8,"female","group 2 female"
"6734",48,"group 2","67",23.9,"female","group 2 female"
"6735",49,"group 2","67",22.5,"female","group 2 female"
"6736",50,"group 2","67",23.7,"female","group 2 female"
"6737",51,"group 2","67",24,"female","group 2 female"
"6738",52,"group 2","67",23,"female","group 2 female"
"6739",53,"group 2","67",23.5,"female","group 2 female"
"6740",54,"group 2","67",24,"female","group 2 female"
"6741",55,"group 2","67",24.5,"female","group 2 female"
"6742",56,"group 2","67",24.7,"female","group 2 female"
"6743",57,"group 2","67",22.7,"female","group 2 female"
"6744",58,"group 2","67",22.9,"female","group 2 female"
"6745",59,"group 2","67",24.3,"female","group 2 female"
"6746",60,"group 2","67",23,"female","group 2 female"
"6747",61,"group 2","67",22.3,"female","group 2 female"
"6748",62,"group 2","67",23.2,"female","group 2 female"
"6749",63,"group 2","67",22.7,"female","group 2 female"
"6751",65,"group 2","67",24,"female","group 2 female"
"6752",66,"group 2","67",25.3,"female","group 2 female"
"6753",67,"group 2","67",25.3,"female","group 2 female"
"6754",68,"group 2","67",22.7,"female","group 2 female"
"6755",69,"group 2","67",22.6,"female","group 2 female"
"6756",70,"group 2","67",22.3,"female","group 2 female"
"6757",71,"group 2","67",23.6,"female","group 2 female"
"6758",72,"group 2","67",23.1,"female","group 2 female"
"6759",73,"group 2","67",23.2,"female","group 2 female"
"6763",1,"group 2","68",14.2,"female","group 2 female"
"6764",2,"group 2","68",16.8,"female","group 2 female"
"6765",3,"group 2","68",16.2,"female","group 2 female"
"6766",4,"group 2","68",18,"female","group 2 female"
"6767",5,"group 2","68",18,"female","group 2 female"
"6768",6,"group 2","68",18,"female","group 2 female"
"6769",7,"group 2","68",20.2,"female","group 2 female"
"6770",8,"group 2","68",19.2,"female","group 2 female"
"6771",9,"group 2","68",20.2,"female","group 2 female"
"6772",10,"group 2","68",21.4,"female","group 2 female"
"6773",11,"group 2","68",21.4,"female","group 2 female"
"6774",12,"group 2","68",22.1,"female","group 2 female"
"6775",13,"group 2","68",21.7,"female","group 2 female"
"6776",14,"group 2","68",22.9,"female","group 2 female"
"6777",15,"group 2","68",21.3,"female","group 2 female"
"6778",16,"group 2","68",21.8,"female","group 2 female"
"6779",17,"group 2","68",23,"female","group 2 female"
"6780",18,"group 2","68",22,"female","group 2 female"
"6781",19,"group 2","68",21.9,"female","group 2 female"
"6782",20,"group 2","68",22.9,"female","group 2 female"
"6783",21,"group 2","68",22.8,"female","group 2 female"
"6784",22,"group 2","68",22.3,"female","group 2 female"
"6785",23,"group 2","68",22.2,"female","group 2 female"
"6786",24,"group 2","68",24,"female","group 2 female"
"6787",25,"group 2","68",23.2,"female","group 2 female"
"6788",26,"group 2","68",24.1,"female","group 2 female"
"6789",27,"group 2","68",23.9,"female","group 2 female"
"6790",28,"group 2","68",23.7,"female","group 2 female"
"6791",29,"group 2","68",24.5,"female","group 2 female"
"6792",30,"group 2","68",24.3,"female","group 2 female"
"6793",31,"group 2","68",24.5,"female","group 2 female"
"6794",32,"group 2","68",24.7,"female","group 2 female"
"6795",33,"group 2","68",23.5,"female","group 2 female"
"6796",34,"group 2","68",24.9,"female","group 2 female"
"6797",35,"group 2","68",25,"female","group 2 female"
"6798",36,"group 2","68",24.1,"female","group 2 female"
"6799",37,"group 2","68",25.1,"female","group 2 female"
"6800",38,"group 2","68",24.6,"female","group 2 female"
"6801",39,"group 2","68",27.4,"female","group 2 female"
"6802",40,"group 2","68",25.6,"female","group 2 female"
"6803",41,"group 2","68",24.7,"female","group 2 female"
"6804",42,"group 2","68",27,"female","group 2 female"
"6805",43,"group 2","68",27.2,"female","group 2 female"
"6806",44,"group 2","68",25.2,"female","group 2 female"
"6807",45,"group 2","68",26.5,"female","group 2 female"
"6808",46,"group 2","68",26.4,"female","group 2 female"
"6809",47,"group 2","68",24.9,"female","group 2 female"
"6810",48,"group 2","68",26.4,"female","group 2 female"
"6811",49,"group 2","68",26.5,"female","group 2 female"
"6812",50,"group 2","68",25.1,"female","group 2 female"
"6813",51,"group 2","68",26,"female","group 2 female"
"6814",52,"group 2","68",25.3,"female","group 2 female"
"6815",53,"group 2","68",26.2,"female","group 2 female"
"6816",54,"group 2","68",24.7,"female","group 2 female"
"6817",55,"group 2","68",26.1,"female","group 2 female"
"6818",56,"group 2","68",29.4,"female","group 2 female"
"6819",57,"group 2","68",24.6,"female","group 2 female"
"6820",58,"group 2","68",26.1,"female","group 2 female"
"6821",59,"group 2","68",25.9,"female","group 2 female"
"6822",60,"group 2","68",26.5,"female","group 2 female"
"6823",61,"group 2","68",24.5,"female","group 2 female"
"6824",62,"group 2","68",23.8,"female","group 2 female"
"6825",63,"group 2","68",24.7,"female","group 2 female"
"6827",65,"group 2","68",23,"female","group 2 female"
"6828",66,"group 2","68",23.7,"female","group 2 female"
"6829",67,"group 2","68",23.7,"female","group 2 female"
"6830",68,"group 2","68",22.3,"female","group 2 female"
"6831",69,"group 2","68",22.7,"female","group 2 female"
"6832",70,"group 2","68",23.7,"female","group 2 female"
"6833",71,"group 2","68",23.5,"female","group 2 female"
"6834",72,"group 2","68",22.8,"female","group 2 female"
"6835",73,"group 2","68",22.8,"female","group 2 female"
"6839",1,"group 2","69",14.7,"female","group 2 female"
"6840",2,"group 2","69",17.9,"female","group 2 female"
"6841",3,"group 2","69",18.1,"female","group 2 female"
"6842",4,"group 2","69",19.8,"female","group 2 female"
"6843",5,"group 2","69",20,"female","group 2 female"
"6844",6,"group 2","69",21.3,"female","group 2 female"
"6845",7,"group 2","69",21.2,"female","group 2 female"
"6846",8,"group 2","69",23,"female","group 2 female"
"6847",9,"group 2","69",23.5,"female","group 2 female"
"6848",10,"group 2","69",22.8,"female","group 2 female"
"6849",11,"group 2","69",23.9,"female","group 2 female"
"6850",12,"group 2","69",24.6,"female","group 2 female"
"6851",13,"group 2","69",24.6,"female","group 2 female"
"6852",14,"group 2","69",25.3,"female","group 2 female"
"6853",15,"group 2","69",25.3,"female","group 2 female"
"6854",16,"group 2","69",24.9,"female","group 2 female"
"6855",17,"group 2","69",25.4,"female","group 2 female"
"6856",18,"group 2","69",26.2,"female","group 2 female"
"6857",19,"group 2","69",25.9,"female","group 2 female"
"6858",20,"group 2","69",25,"female","group 2 female"
"6859",21,"group 2","69",25.8,"female","group 2 female"
"6860",22,"group 2","69",26.2,"female","group 2 female"
"6861",23,"group 2","69",24.7,"female","group 2 female"
"6862",24,"group 2","69",22.4,"female","group 2 female"
"6863",25,"group 2","69",24.3,"female","group 2 female"
"6864",26,"group 2","69",23.1,"female","group 2 female"
"6865",27,"group 2","69",23.4,"female","group 2 female"
"6866",28,"group 2","69",23.1,"female","group 2 female"
"6867",29,"group 2","69",24.1,"female","group 2 female"
"6868",30,"group 2","69",23.9,"female","group 2 female"
"6869",31,"group 2","69",22.6,"female","group 2 female"
"6870",32,"group 2","69",22.9,"female","group 2 female"
"6871",33,"group 2","69",23.9,"female","group 2 female"
"6872",34,"group 2","69",24.8,"female","group 2 female"
"6873",35,"group 2","69",24.8,"female","group 2 female"
"6874",36,"group 2","69",24.7,"female","group 2 female"
"6875",37,"group 2","69",24.1,"female","group 2 female"
"6876",38,"group 2","69",23.8,"female","group 2 female"
"6877",39,"group 2","69",24.1,"female","group 2 female"
"6878",40,"group 2","69",25.5,"female","group 2 female"
"6879",41,"group 2","69",24.5,"female","group 2 female"
"6880",42,"group 2","69",24.1,"female","group 2 female"
"6881",43,"group 2","69",25.5,"female","group 2 female"
"6882",44,"group 2","69",24.5,"female","group 2 female"
"6883",45,"group 2","69",25.6,"female","group 2 female"
"6884",46,"group 2","69",25.2,"female","group 2 female"
"6885",47,"group 2","69",25.6,"female","group 2 female"
"6886",48,"group 2","69",26,"female","group 2 female"
"6887",49,"group 2","69",25.8,"female","group 2 female"
"6888",50,"group 2","69",23.8,"female","group 2 female"
"6889",51,"group 2","69",25,"female","group 2 female"
"6890",52,"group 2","69",25,"female","group 2 female"
"6891",53,"group 2","69",24.8,"female","group 2 female"
"6892",54,"group 2","69",25.9,"female","group 2 female"
"6893",55,"group 2","69",27.4,"female","group 2 female"
"6894",56,"group 2","69",27.3,"female","group 2 female"
"6895",57,"group 2","69",25.2,"female","group 2 female"
"6896",58,"group 2","69",26.7,"female","group 2 female"
"6897",59,"group 2","69",24.9,"female","group 2 female"
"6898",60,"group 2","69",25.1,"female","group 2 female"
"6899",61,"group 2","69",24.1,"female","group 2 female"
"6900",62,"group 2","69",25.3,"female","group 2 female"
"6901",63,"group 2","69",25.3,"female","group 2 female"
"6902",64,"group 2","69",24.1,"female","group 2 female"
"6903",65,"group 2","69",24.3,"female","group 2 female"
"6904",66,"group 2","69",24.4,"female","group 2 female"
"6905",67,"group 2","69",24.4,"female","group 2 female"
"6906",68,"group 2","69",23.8,"female","group 2 female"
"6907",69,"group 2","69",23.6,"female","group 2 female"
"6908",70,"group 2","69",22.6,"female","group 2 female"
"6909",71,"group 2","69",23.4,"female","group 2 female"
"6910",72,"group 2","69",23.4,"female","group 2 female"
"6911",73,"group 2","69",23,"female","group 2 female"
"6915",1,"group 2","70",11.3,"female","group 2 female"
"6916",2,"group 2","70",15.9,"female","group 2 female"
"6917",3,"group 2","70",16.1,"female","group 2 female"
"6918",4,"group 2","70",17,"female","group 2 female"
"6919",5,"group 2","70",17,"female","group 2 female"
"6920",6,"group 2","70",17.4,"female","group 2 female"
"6921",7,"group 2","70",18.6,"female","group 2 female"
"6922",8,"group 2","70",18.4,"female","group 2 female"
"6923",9,"group 2","70",20.2,"female","group 2 female"
"6924",10,"group 2","70",19.2,"female","group 2 female"
"6925",11,"group 2","70",18.5,"female","group 2 female"
"6926",12,"group 2","70",19.8,"female","group 2 female"
"6927",13,"group 2","70",19.3,"female","group 2 female"
"6928",14,"group 2","70",19,"female","group 2 female"
"6929",15,"group 2","70",20.8,"female","group 2 female"
"6930",16,"group 2","70",20.4,"female","group 2 female"
"6931",17,"group 2","70",20,"female","group 2 female"
"6932",18,"group 2","70",21,"female","group 2 female"
"6933",19,"group 2","70",20.1,"female","group 2 female"
"6934",20,"group 2","70",20.5,"female","group 2 female"
"6935",21,"group 2","70",20.9,"female","group 2 female"
"6936",22,"group 2","70",23.4,"female","group 2 female"
"6937",23,"group 2","70",20.5,"female","group 2 female"
"6938",24,"group 2","70",21.7,"female","group 2 female"
"6939",25,"group 2","70",20.9,"female","group 2 female"
"6940",26,"group 2","70",21.4,"female","group 2 female"
"6941",27,"group 2","70",22,"female","group 2 female"
"6942",28,"group 2","70",20.6,"female","group 2 female"
"6943",29,"group 2","70",20.7,"female","group 2 female"
"6944",30,"group 2","70",20.8,"female","group 2 female"
"6945",31,"group 2","70",21,"female","group 2 female"
"6946",32,"group 2","70",21.7,"female","group 2 female"
"6947",33,"group 2","70",22.5,"female","group 2 female"
"6948",34,"group 2","70",22,"female","group 2 female"
"6949",35,"group 2","70",22,"female","group 2 female"
"6950",36,"group 2","70",22.8,"female","group 2 female"
"6951",37,"group 2","70",22,"female","group 2 female"
"6952",38,"group 2","70",22.3,"female","group 2 female"
"6953",39,"group 2","70",23.8,"female","group 2 female"
"6954",40,"group 2","70",22.3,"female","group 2 female"
"6955",41,"group 2","70",22.3,"female","group 2 female"
"6956",42,"group 2","70",23.9,"female","group 2 female"
"6957",43,"group 2","70",22.9,"female","group 2 female"
"6958",44,"group 2","70",22,"female","group 2 female"
"6959",45,"group 2","70",22.8,"female","group 2 female"
"6960",46,"group 2","70",22.5,"female","group 2 female"
"6961",47,"group 2","70",22.2,"female","group 2 female"
"6962",48,"group 2","70",23.1,"female","group 2 female"
"6963",49,"group 2","70",23,"female","group 2 female"
"6964",50,"group 2","70",22.3,"female","group 2 female"
"6965",51,"group 2","70",23,"female","group 2 female"
"6966",52,"group 2","70",21,"female","group 2 female"
"6967",53,"group 2","70",20,"female","group 2 female"
"6968",54,"group 2","70",22.1,"female","group 2 female"
"6969",55,"group 2","70",23.8,"female","group 2 female"
"6970",56,"group 2","70",25.2,"female","group 2 female"
"6971",57,"group 2","70",23.4,"female","group 2 female"
"6972",58,"group 2","70",24.2,"female","group 2 female"
"6973",59,"group 2","70",23.8,"female","group 2 female"
"6974",60,"group 2","70",22.6,"female","group 2 female"
"6975",61,"group 2","70",22.5,"female","group 2 female"
"6976",62,"group 2","70",23.2,"female","group 2 female"
"6977",63,"group 2","70",21.7,"female","group 2 female"
"6978",64,"group 2","70",22.5,"female","group 2 female"
"6979",65,"group 2","70",22.2,"female","group 2 female"
"6980",66,"group 2","70",22,"female","group 2 female"
"6981",67,"group 2","70",22,"female","group 2 female"
"6982",68,"group 2","70",20.7,"female","group 2 female"
"6983",69,"group 2","70",20.8,"female","group 2 female"
"6984",70,"group 2","70",20.8,"female","group 2 female"
"6985",71,"group 2","70",23.6,"female","group 2 female"
"6986",72,"group 2","70",23,"female","group 2 female"
"6987",73,"group 2","70",21.7,"female","group 2 female"
"6991",1,"group 2","71",16,"female","group 2 female"
"6992",2,"group 2","71",17.8,"female","group 2 female"
"6993",3,"group 2","71",17.8,"female","group 2 female"
"6994",4,"group 2","71",19.7,"female","group 2 female"
"6995",5,"group 2","71",19,"female","group 2 female"
"6996",6,"group 2","71",19.8,"female","group 2 female"
"6997",7,"group 2","71",20.9,"female","group 2 female"
"6998",8,"group 2","71",20.2,"female","group 2 female"
"6999",9,"group 2","71",20.9,"female","group 2 female"
"7000",10,"group 2","71",22.2,"female","group 2 female"
"7001",11,"group 2","71",21.4,"female","group 2 female"
"7002",12,"group 2","71",21.7,"female","group 2 female"
"7003",13,"group 2","71",22,"female","group 2 female"
"7004",14,"group 2","71",22.2,"female","group 2 female"
"7005",15,"group 2","71",22.2,"female","group 2 female"
"7006",16,"group 2","71",22.7,"female","group 2 female"
"7007",17,"group 2","71",23.7,"female","group 2 female"
"7008",18,"group 2","71",22.8,"female","group 2 female"
"7009",19,"group 2","71",22.9,"female","group 2 female"
"7010",20,"group 2","71",22.1,"female","group 2 female"
"7011",21,"group 2","71",22.6,"female","group 2 female"
"7012",22,"group 2","71",23.1,"female","group 2 female"
"7013",23,"group 2","71",22.7,"female","group 2 female"
"7014",24,"group 2","71",23.6,"female","group 2 female"
"7015",25,"group 2","71",23,"female","group 2 female"
"7016",26,"group 2","71",23.2,"female","group 2 female"
"7017",27,"group 2","71",24.5,"female","group 2 female"
"7018",28,"group 2","71",24.9,"female","group 2 female"
"7019",29,"group 2","71",22.8,"female","group 2 female"
"7020",30,"group 2","71",23,"female","group 2 female"
"7021",31,"group 2","71",24.3,"female","group 2 female"
"7022",32,"group 2","71",23.4,"female","group 2 female"
"7023",33,"group 2","71",24.1,"female","group 2 female"
"7024",34,"group 2","71",23.5,"female","group 2 female"
"7025",35,"group 2","71",23.5,"female","group 2 female"
"7026",36,"group 2","71",24.6,"female","group 2 female"
"7027",37,"group 2","71",23.5,"female","group 2 female"
"7028",38,"group 2","71",23.9,"female","group 2 female"
"7029",39,"group 2","71",24.4,"female","group 2 female"
"7030",40,"group 2","71",25,"female","group 2 female"
"7031",41,"group 2","71",23.1,"female","group 2 female"
"7032",42,"group 2","71",24.2,"female","group 2 female"
"7033",43,"group 2","71",25.7,"female","group 2 female"
"7034",44,"group 2","71",26.1,"female","group 2 female"
"7035",45,"group 2","71",26.4,"female","group 2 female"
"7036",46,"group 2","71",26.6,"female","group 2 female"
"7037",47,"group 2","71",27.8,"female","group 2 female"
"7038",48,"group 2","71",27.2,"female","group 2 female"
"7039",49,"group 2","71",26.2,"female","group 2 female"
"7040",50,"group 2","71",27,"female","group 2 female"
"7041",51,"group 2","71",27,"female","group 2 female"
"7042",52,"group 2","71",24.4,"female","group 2 female"
"7043",53,"group 2","71",25.6,"female","group 2 female"
"7044",54,"group 2","71",27.2,"female","group 2 female"
"7045",55,"group 2","71",28.5,"female","group 2 female"
"7046",56,"group 2","71",30,"female","group 2 female"
"7047",57,"group 2","71",26.7,"female","group 2 female"
"7048",58,"group 2","71",27.9,"female","group 2 female"
"7049",59,"group 2","71",26.8,"female","group 2 female"
"7050",60,"group 2","71",25.1,"female","group 2 female"
"7051",61,"group 2","71",25.8,"female","group 2 female"
"7052",62,"group 2","71",27,"female","group 2 female"
"7053",63,"group 2","71",25.7,"female","group 2 female"
"7054",64,"group 2","71",25.8,"female","group 2 female"
"7055",65,"group 2","71",25.1,"female","group 2 female"
"7056",66,"group 2","71",23.8,"female","group 2 female"
"7057",67,"group 2","71",23.8,"female","group 2 female"
"7058",68,"group 2","71",23.6,"female","group 2 female"
"7059",69,"group 2","71",23.1,"female","group 2 female"
"7060",70,"group 2","71",23,"female","group 2 female"
"7061",71,"group 2","71",23.5,"female","group 2 female"
"7062",72,"group 2","71",25.3,"female","group 2 female"
"7063",73,"group 2","71",24.8,"female","group 2 female"
"7067",1,"group 2","72",16.3,"female","group 2 female"
"7068",2,"group 2","72",18.6,"female","group 2 female"
"7069",3,"group 2","72",18.9,"female","group 2 female"
"7070",4,"group 2","72",20,"female","group 2 female"
"7071",5,"group 2","72",20,"female","group 2 female"
"7072",6,"group 2","72",19.7,"female","group 2 female"
"7073",7,"group 2","72",21.8,"female","group 2 female"
"7074",8,"group 2","72",22.5,"female","group 2 female"
"7075",9,"group 2","72",21.5,"female","group 2 female"
"7076",10,"group 2","72",23.1,"female","group 2 female"
"7077",11,"group 2","72",21.9,"female","group 2 female"
"7078",12,"group 2","72",22.5,"female","group 2 female"
"7079",13,"group 2","72",23.6,"female","group 2 female"
"7080",14,"group 2","72",23,"female","group 2 female"
"7081",15,"group 2","72",22.7,"female","group 2 female"
"7082",16,"group 2","72",24.1,"female","group 2 female"
"7083",17,"group 2","72",22.8,"female","group 2 female"
"7084",18,"group 2","72",23.4,"female","group 2 female"
"7085",19,"group 2","72",24.5,"female","group 2 female"
"7086",20,"group 2","72",24.4,"female","group 2 female"
"7087",21,"group 2","72",23.6,"female","group 2 female"
"7088",22,"group 2","72",23.4,"female","group 2 female"
